"tax_id","ott_id","domain","kingdom","phylum","class","order","family","genus","species","subspecies","taxon_name","AphiaID_accepted","freshwater","brackish","marine","tax_level"
"tax_890",652694,"Eukaryota","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii virginalis","oncorhynchus clarkii virginalis",274347,"TRUE","TRUE","TRUE","subspecies"
"tax_862",288069,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Cichlidae","Oreochromis","Oreochromis mossambicus",,"oreochromis mossambicus",218777,"TRUE","TRUE",,"species"
"tax_835",28235,"Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","Palaemon kadiakensis",,"palaemon kadiakensis",932392,"TRUE",,,"species"
"tax_857",240248,"Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Atyidae","Paratya",,,"paratya sp",586649,"TRUE","TRUE",,"genus"
"tax_931",3624372,"Eukaryota","Metazoa","Chordata","Actinopteri","Characiformes","Parodontidae","Parodon","Parodon carrikeri",,"parodon carrikeri",1014847,"TRUE",,,"species"
"tax_851",186488,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Percidae","Perca","Perca fluviatilis",,"perca fluviatilis",151353,"TRUE","TRUE",,"species"
"tax_883",581764,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Phoxinus","Phoxinus oxycephalus",,"phoxinus oxycephalus",1019045,"TRUE",,,"species"
"tax_932",3625195,"Eukaryota","Metazoa","Chordata","Actinopteri","Characiformes","Characidae","Piabina","Piabina thomasi",,"piabina thomasi",270402,"TRUE",,,"species"
"tax_923",1093580,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Poeciliidae","Poecilia","Poecilia caucana",,"poecilia caucana",1020045,"TRUE",,,"species"
"tax_918",998168,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Poeciliidae","Poecilia","Poecilia formosa",,"poecilia formosa",275347,"TRUE","TRUE",,"species"
"tax_833",6465,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Poeciliidae","Poecilia","Poecilia mexicana",,"poecilia mexicana",275349,"TRUE","TRUE",,"species"
